City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,chonchi,-42.6128,-73.8092,6.56,88,68,1.53,CL,1699923513
245,novyy urengoy,66.0833,76.6333,-18.59,98,13,2.46,RU,1699923513
246,beyneu,45.3167,55.2,8.04,42,19,8.66,KZ,1699923513
247,gunnedah,-30.9833,150.25,30.16,26,6,3.83,AU,1699923513
248,flin flon,54.7682,-101.865,-0.09,86,75,2.06,CA,1699923385
249,tatarsk,55.219,75.9828,-0.17,90,91,2.56,RU,1699923513
250,cabo san lucas,22.8909,-109.9124,29.17,62,0,2.06,MX,1699923482
251,outjo,-20.1167,16.15,23.23,46,87,2.78,NA,1699923513
252,baruun-urt,46.6806,113.2792,-12.39,83,38,3.24,MN,1699923513
253,salym,60.0625,71.4789,-3.91,95,100,4.03,RU,1699923514
254,bontang,0.1333,117.5,26.83,81,96,1.17,ID,1699923463
255,yang talat,16.3998,103.3679,25.54,1,100,6.62,TH,1699923514
256,namibe,-15.1961,12.1522,23.07,62,100,2.8,AO,1699923514
257,singaparna,-7.3515,108.111,25.75,82,75,1.38,ID,1699923514
258,granada,37.25,-3.25,8.59,42,81,0.92,ES,1699923413
259,tongouson,5.0214,120.1328,28.42,70,55,0.01,PH,1699923514
260,tazacorte,28.629,-17.9293,24.53,36,0,4.92,ES,1699923514
261,visby,57.6409,18.296,0.46,93,75,1.54,SE,1699923515
262,crane,31.3974,-102.3501,11.2,83,100,3.49,US,1699923515
263,souillac,-20.5167,57.5167,22.21,94,75,1.54,MU,1699923515
264,calingasta,-31.3308,-69.4078,15.64,11,1,1.78,AR,1699923515
265,ouani,-12.1322,44.4258,26.38,84,100,1.01,KM,1699923515
266,aktau,43.65,51.2,7.32,57,33,4.89,KZ,1699923515
267,kerikeri,-35.2268,173.9474,22.17,68,100,1.34,NZ,1699923515
268,al jawf,29.5,38.75,20.87,52,0,4.59,SA,1699923515
269,choyr,46.3611,108.3611,-12.9,82,17,1.61,MN,1699923368
270,port augusta,-32.5,137.7667,24.82,39,78,6.38,AU,1699923278
271,christchurch,-43.5333,172.6333,25.11,38,100,5.66,NZ,1699923401
272,cidreira,-30.1811,-50.2056,20.21,97,100,1.69,BR,1699923516
273,kingston,17.997,-76.7936,28.53,80,20,7.72,JM,1699922998
274,mount gambier,-37.8333,140.7667,15.17,62,100,1.66,AU,1699923321
275,bubaque,11.2833,-15.8333,28.25,69,51,5.22,GW,1699923516
276,trongsa,27.5026,90.5072,7.64,77,44,1.75,BT,1699923517
277,hadibu,12.65,54.0333,26.19,86,85,4.98,YE,1699923517
278,ajaccio,42.0,8.9167,13.03,82,0,3.6,FR,1699923517
279,st. john's,47.5649,-52.7093,0.54,82,75,3.6,CA,1699923299
280,estacion coahuila,32.1939,-115.0017,24.38,18,100,2.29,MX,1699923517
281,grande prairie,55.1667,-118.8027,-2.9,93,100,5.66,CA,1699923330
282,charlottetown,46.2352,-63.1267,0.43,88,100,2.57,CA,1699923517
283,west island,-12.1568,96.8225,26.99,78,75,4.12,CC,1699923517
284,sitka,57.0531,-135.33,5.94,81,100,3.6,US,1699923393
285,mili,6.0815,171.735,28.18,82,100,7.04,MH,1699923518
286,kuqa,41.7278,82.9364,2.64,26,5,1.44,CN,1699923518
287,carnarvon,-24.8667,113.6333,21.41,68,100,2.97,AU,1699923518
288,myitkyina,25.3833,97.4,18.61,68,3,0.99,MM,1699923518
289,tshabong,-26.05,22.45,22.7,16,19,5.09,BW,1699923518
290,rio grande,-32.035,-52.0986,20.06,93,100,4.78,BR,1699923367
291,villa ojo de agua,-29.5,-63.6938,17.25,67,0,3.0,AR,1699923519
292,pangody,65.85,74.4859,-18.79,100,100,2.88,RU,1699923519
293,raduzhny,62.0961,77.475,-13.89,95,100,1.42,RU,1699923519
294,ishigaki,24.3448,124.1572,23.07,64,75,6.69,JP,1699923519
295,alaghsas,17.0187,8.0168,23.4,15,5,4.87,NE,1699923519
296,palmas,-10.2128,-48.3603,29.93,70,0,2.06,BR,1699923139
297,port alfred,-33.5906,26.891,13.99,94,94,5.23,ZA,1699923374
298,comodoro rivadavia,-45.8667,-67.5,11.92,24,0,9.26,AR,1699923274
299,bosanska krupa,44.8825,16.1514,12.7,90,100,3.36,BA,1699923519
